Frame,X_Center,Y_Center,Force_Intensity
288,244,173,16778.48
289,244,173,16768.809
290,244,173,16795.141
291,244,173,16787.996
292,244,173,16796.819
293,244,173,16794.046
294,244,173,16798.127
295,244,173,16788.906
296,244,173,16793.793
297,244,173,16788.905
298,244,173,16780.456
299,244,173,16778.669
300,244,173,16780.135
301,244,173,16774.874
302,244,173,16767.686
303,244,173,16764.84
304,244,173,16759.731
305,244,173,16759.847
306,244,173,16793.552
307,244,173,16789.285
308,244,173,16798.721
309,244,173,16793.379
310,245,173,16796.814
311,245,173,16794.371
312,242,174,17460.79
313,242,174,17460.576
314,242,174,17501.696
315,242,174,17496.078
316,242,174,17500.63
317,242,174,17499.278
318,242,174,17534.525
319,242,174,17540.045
320,242,174,17531.004
321,242,174,17527.853
322,242,174,17559.756
323,242,174,17558.701
324,242,174,17560.474
325,242,174,17562.219
326,242,174,17583.63
327,242,174,17586.595
328,242,174,17582.634
329,242,174,17580.952
330,242,174,17602.882
331,242,174,17601.129
332,242,174,17600.601
333,242,174,17603.652
334,242,174,17607.242
335,242,174,17607.381
336,241,174,17610.858
337,241,174,17607.18
338,242,174,17612.609
339,242,174,17613.745
340,241,174,17612.308
341,241,174,17612.533
342,241,174,17620.398
343,241,174,17616.449
344,241,174,17615.142
345,242,174,17606.824
346,241,174,17608.515
347,241,174,17610.939
348,241,174,17588.373
349,241,174,17577.855
350,241,174,17592.428
351,241,174,17593.938
352,241,174,17592.577
353,241,174,17592.415
354,241,174,17615.259
355,241,174,17618.924
356,241,174,17617.797
357,241,174,17619.251
358,241,174,17635.754
359,241,174,17634.208
360,242,174,17730.618
361,242,174,17738.794
362,242,174,17807.267
363,242,174,17805.097
364,242,174,17826.703
365,242,174,17828.27
366,242,174,17887.741
367,242,174,17891.221
368,242,174,17902.82
369,242,174,17907.006
370,242,174,17973.027
371,242,174,17971.04
372,242,174,17987.351
373,242,174,17977.819
374,242,174,18086.899
375,242,174,18083.393
376,242,174,18104.291
377,243,174,18107.834
378,242,174,18171.942
379,242,174,18164.681
380,242,174,18171.041
381,242,174,18171.278
382,242,174,18244.366
383,242,174,18259.604
384,242,174,18312.368
385,242,174,18303.495
386,242,175,18349.117
387,242,175,18347.31
388,242,175,18361.276
389,242,175,18355.697
390,242,175,18462.969
391,241,175,18473.816
392,242,175,18499.623
393,242,175,18483.526
394,241,175,18508.062
395,241,175,18493.119
396,241,175,18486.747
397,241,175,18475.561
398,241,175,18506.379
399,241,175,18492.959
400,241,175,18496.509
401,241,175,18486.493
402,240,176,18488.553
403,240,176,18484.968
404,240,176,18421.87
405,240,176,18418.993
406,240,176,18444.104
407,240,176,18444.158
408,240,176,18438.243
409,240,176,18434.266
410,240,176,18433.389
411,240,176,18432.482
412,240,176,18403.681
413,240,176,18400.995
414,240,176,18388.964
415,240,176,18389.081
416,240,176,18390.385
417,240,176,18392.287
418,239,176,18390.496
419,239,176,18389.442
420,239,176,18381.392
421,239,176,18412.586
422,239,176,18415.107
423,239,176,18416.208
424,239,176,18413.604
425,239,176,18431.792
426,239,176,18439.853
427,239,176,18439.611
428,239,176,18416.68
429,239,176,18446.644
430,239,176,18455.578
431,239,176,18459.46
432,240,176,18444.748
433,240,176,18449.187
434,240,176,18451.403
435,240,176,18453.503
436,240,176,18383.717
437,240,176,18396.085
438,239,175,18357.914
439,240,176,18360.339
440,239,176,18305.103
441,239,175,18334.144
442,239,175,18347.935
443,239,175,18341.95
444,239,175,18285.193
445,239,175,18296.88
446,239,175,18261.772
447,239,175,18267.348
448,239,175,18162.22
449,239,175,18182.781
450,239,175,18113.93
451,239,175,18106.288
452,239,175,17973.12
453,239,175,17980.672
454,239,175,17937.367
455,239,175,17939.625
456,239,175,17900.728
457,239,175,17912.619
458,239,175,17898.167
459,239,175,17908.419
460,240,175,17876.212
